state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
81,benue,7,59,3,69,170,19,189,236,q2 2021,['benue'],"['q2', '2021']",True,81.0,63,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,['benue'],"['q2', '2021']",69
82,borno,2,15,0,17,65,4,69,103,q2 2021,['borno'],"['q2', '2021']",True,82.0,7,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,7,['borno'],"['q2', '2021']",24
83,cross river,5,20,4,29,74,5,79,149,q2 2021,"['cross', 'river']","['q2', '2021']",True,83.0,17,1,2,1,5,0,0,4,1,0,0,1,0,0,0,0,1,"['cross', 'river']","['q2', '2021']",33
84,delta,9,28,4,41,136,16,152,311,q2 2021,['delta'],"['q2', '2021']",True,84.0,46,0,6,1,5,0,0,3,0,0,0,0,0,0,0,0,10,['delta'],"['q2', '2021']",71
85,ebonyi,9,19,1,29,82,15,97,185,q2 2021,['ebonyi'],"['q2', '2021']",True,85.0,20,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,2,['ebonyi'],"['q2', '2021']",33
86,edo,19,30,9,58,154,34,188,370,q2 2021,['edo'],"['q2', '2021']",True,86.0,61,0,3,2,4,0,0,9,1,0,1,0,0,0,0,0,0,['edo'],"['q2', '2021']",81
87,ekiti,13,23,5,41,98,20,118,252,q2 2021,['ekiti'],"['q2', '2021']",True,87.0,39,0,2,0,1,1,0,1,4,1,0,1,0,0,0,0,10,['ekiti'],"['q2', '2021']",60
88,enugu,13,34,19,66,157,22,179,453,q2 2021,['enugu'],"['q2', '2021']",True,88.0,8,0,9,2,4,1,0,9,4,0,2,0,0,0,0,0,39,['enugu'],"['q2', '2021']",78
89,fct,31,168,53,252,483,37,520,1273,q2 2021,['fct'],"['q2', '2021']",True,89.0,135,0,10,4,6,0,0,1,22,0,15,9,0,2,0,0,144,['fct'],"['q2', '2021']",348
90,gombe,15,76,2,93,239,28,267,427,q2 2021,['gombe'],"['q2', '2021']",True,90.0,40,0,1,0,2,6,0,3,26,0,5,3,0,0,0,0,21,['gombe'],"['q2', '2021']",107
