id,state,period,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens,period_tokens,total_causes_recorded
153.0,bauchi,q4 2021,124,2,18,2,0,9,1,29,21,5,9,9,2,0,0,1,8,['bauchi'],"['q4', '2021']",240
154.0,bayelsa,q4 2021,16,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,['bayelsa'],"['q4', '2021']",19
155.0,benue,q4 2021,34,1,2,0,0,0,0,3,4,1,1,0,0,1,0,0,0,['benue'],"['q4', '2021']",47
156.0,borno,q4 2021,13,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,1,['borno'],"['q4', '2021']",21
157.0,cross river,q4 2021,48,0,2,1,3,2,0,6,3,0,2,2,0,0,0,0,0,"['cross', 'river']","['q4', '2021']",69
158.0,delta,q4 2021,29,0,7,4,1,1,0,1,3,0,6,0,2,0,0,0,17,['delta'],"['q4', '2021']",71
159.0,ebonyi,q4 2021,16,0,2,0,1,0,0,4,4,0,2,0,0,0,0,0,1,['ebonyi'],"['q4', '2021']",30
160.0,edo,q4 2021,61,0,1,0,6,0,0,3,2,0,0,0,0,0,0,0,14,['edo'],"['q4', '2021']",87
161.0,ekiti,q4 2021,18,0,0,0,5,0,0,1,0,0,5,0,0,0,0,0,9,['ekiti'],"['q4', '2021']",38
162.0,enugu,q4 2021,24,0,8,0,14,0,0,2,1,0,0,0,0,0,0,0,13,['enugu'],"['q4', '2021']",62
163.0,fct,q4 2021,172,0,8,3,4,0,3,6,31,0,15,5,2,0,0,0,74,['fct'],"['q4', '2021']",323
164.0,gombe,q4 2021,44,5,7,0,0,5,0,5,27,1,2,4,0,0,0,0,12,['gombe'],"['q4', '2021']",112
165.0,imo,q4 2021,20,0,2,0,5,0,0,3,5,1,2,0,0,0,0,0,0,['imo'],"['q4', '2021']",38
166.0,jigawa,q4 2021,142,2,14,0,0,9,2,7,4,1,10,9,0,0,0,0,12,['jigawa'],"['q4', '2021']",212
167.0,kaduna,q4 2021,121,0,8,2,2,1,3,16,9,4,10,1,0,0,0,5,0,['kaduna'],"['q4', '2021']",182
168.0,kano,q4 2021,30,0,1,1,0,1,1,3,3,0,6,0,0,0,0,0,5,['kano'],"['q4', '2021']",51
169.0,katsina,q4 2021,11,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,['katsina'],"['q4', '2021']",15
170.0,kebbi,q4 2021,47,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,['kebbi'],"['q4', '2021']",62
171.0,kogi,q4 2021,105,0,5,7,15,1,0,20,7,0,16,3,5,1,0,0,39,['kogi'],"['q4', '2021']",224
172.0,kwara,q4 2021,64,0,4,6,2,0,0,18,9,0,3,0,0,0,0,0,26,['kwara'],"['q4', '2021']",132
173.0,lagos,q4 2021,84,0,4,17,6,0,0,12,13,1,5,1,0,2,0,3,1,['lagos'],"['q4', '2021']",149
174.0,nasarawa,q4 2021,92,1,4,25,9,4,8,22,20,22,4,6,0,3,0,0,33,['nasarawa'],"['q4', '2021']",253
175.0,niger,q4 2021,154,0,7,2,7,2,0,21,6,1,6,3,0,0,0,3,9,['niger'],"['q4', '2021']",221
176.0,ogun,q4 2021,239,1,0,17,0,0,0,18,9,0,11,0,0,0,0,0,0,['ogun'],"['q4', '2021']",295
177.0,ondo,q4 2021,95,1,6,1,9,1,0,10,29,5,2,0,0,0,0,2,1,['ondo'],"['q4', '2021']",162
178.0,osun,q4 2021,73,0,9,5,6,0,2,11,6,1,19,0,0,0,0,0,0,['osun'],"['q4', '2021']",132
179.0,oyo,q4 2021,101,1,12,7,8,2,2,15,17,2,10,0,1,1,0,5,1,['oyo'],"['q4', '2021']",185
180.0,plateau,q4 2021,31,0,2,5,21,0,0,5,6,0,0,0,0,2,0,0,2,['plateau'],"['q4', '2021']",74
181.0,rivers,q4 2021,14,0,5,0,6,0,2,4,3,0,2,1,0,0,0,0,0,['rivers'],"['q4', '2021']",37
182.0,sokoto,q4 2021,61,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,['sokoto'],"['q4', '2021']",65
183.0,taraba,q4 2021,25,0,2,0,0,6,0,3,11,0,0,0,0,0,0,0,31,['taraba'],"['q4', '2021']",78
184.0,yobe,q4 2021,29,0,10,2,0,1,1,2,10,1,0,2,0,0,0,0,1,['yobe'],"['q4', '2021']",59
185.0,zamfara,q4 2021,22,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,1,['zamfara'],"['q4', '2021']",32
186.0,abia,q1 2022,20,0,5,1,8,0,0,3,0,0,2,1,0,1,0,0,0,['abia'],"['q1', '2022']",41
187.0,adamawa,q1 2022,75,0,2,2,0,0,0,15,1,1,2,3,0,0,0,0,0,['adamawa'],"['q1', '2022']",101
188.0,akwa ibom,q1 2022,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"['akwa', 'ibom']","['q1', '2022']",16
189.0,anambra,q1 2022,24,0,1,0,7,0,0,8,0,0,2,3,0,0,0,1,0,['anambra'],"['q1', '2022']",46
190.0,bauchi,q1 2022,90,0,8,2,0,2,0,19,17,5,11,3,0,0,0,0,7,['bauchi'],"['q1', '2022']",164
191.0,bayelsa,q1 2022,29,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,['bayelsa'],"['q1', '2022']",35
192.0,benue,q1 2022,55,2,2,3,3,0,0,4,4,1,2,2,1,0,0,0,0,['benue'],"['q1', '2022']",79
193.0,borno,q1 2022,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,['borno'],"['q1', '2022']",26
194.0,cross river,q1 2022,13,0,1,0,2,0,0,1,1,0,1,2,0,0,0,0,0,"['cross', 'river']","['q1', '2022']",21
195.0,delta,q1 2022,51,0,13,4,6,1,0,6,2,0,2,0,0,0,0,0,21,['delta'],"['q1', '2022']",106
196.0,ebonyi,q1 2022,20,0,2,0,0,0,0,12,2,0,1,0,0,0,0,0,3,['ebonyi'],"['q1', '2022']",40
197.0,edo,q1 2022,80,0,4,2,16,0,0,9,0,0,2,1,0,0,0,0,7,['edo'],"['q1', '2022']",121
198.0,ekiti,q1 2022,19,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,['ekiti'],"['q1', '2022']",26
199.0,enugu,q1 2022,18,0,1,0,17,1,0,4,0,0,0,1,0,0,0,0,20,['enugu'],"['q1', '2022']",62
200.0,fct,q1 2022,240,0,27,3,4,0,0,4,33,0,24,3,2,2,0,1,65,['fct'],"['q1', '2022']",408
201.0,gombe,q1 2022,53,0,4,3,0,0,2,9,7,2,3,0,0,0,0,0,14,['gombe'],"['q1', '2022']",97
202.0,imo,q1 2022,5,0,3,0,7,0,0,1,1,0,0,0,0,0,0,0,10,['imo'],"['q1', '2022']",27
203.0,jigawa,q1 2022,168,1,13,0,0,11,0,6,2,0,3,0,0,0,0,0,0,['jigawa'],"['q1', '2022']",204
204.0,kaduna,q1 2022,110,0,13,2,1,1,1,15,19,2,13,1,0,0,0,4,0,['kaduna'],"['q1', '2022']",182
205.0,kano,q1 2022,80,0,5,1,2,2,0,6,7,0,5,3,0,0,0,1,11,['kano'],"['q1', '2022']",123
206.0,katsina,q1 2022,10,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,['katsina'],"['q1', '2022']",18
207.0,kebbi,q1 2022,57,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,['kebbi'],"['q1', '2022']",59
208.0,kogi,q1 2022,132,1,9,5,13,2,0,20,11,0,6,2,10,0,0,1,2,['kogi'],"['q1', '2022']",214
209.0,kwara,q1 2022,109,1,10,4,5,0,0,7,4,0,2,0,0,0,0,0,3,['kwara'],"['q1', '2022']",145
210.0,lagos,q1 2022,88,0,9,9,34,0,0,6,13,0,14,0,0,3,0,6,0,['lagos'],"['q1', '2022']",182
211.0,nasarawa,q1 2022,183,0,10,6,6,3,0,18,27,0,17,5,0,0,0,0,44,['nasarawa'],"['q1', '2022']",319
212.0,niger,q1 2022,124,0,8,0,2,2,0,22,1,2,3,1,0,0,0,21,4,['niger'],"['q1', '2022']",190
213.0,ogun,q1 2022,260,0,7,5,7,2,0,16,7,0,18,0,1,2,0,0,4,['ogun'],"['q1', '2022']",329
214.0,ondo,q1 2022,95,0,11,3,8,2,0,9,22,0,7,0,0,0,0,0,0,['ondo'],"['q1', '2022']",157
215.0,osun,q1 2022,75,0,18,6,4,1,1,13,2,1,15,0,0,0,0,0,1,['osun'],"['q1', '2022']",137
216.0,oyo,q1 2022,124,0,14,5,12,2,0,14,15,0,10,1,0,0,0,4,0,['oyo'],"['q1', '2022']",201
217.0,plateau,q1 2022,26,0,0,2,18,1,0,8,6,0,7,1,0,1,0,0,1,['plateau'],"['q1', '2022']",71
218.0,rivers,q1 2022,20,0,4,1,3,0,0,2,3,0,4,0,0,0,0,0,0,['rivers'],"['q1', '2022']",37
219.0,sokoto,q1 2022,19,0,3,0,1,0,1,2,1,0,1,0,0,0,0,0,0,['sokoto'],"['q1', '2022']",28
220.0,taraba,q1 2022,21,0,5,0,0,3,0,12,16,0,1,0,0,0,0,3,13,['taraba'],"['q1', '2022']",74
221.0,yobe,q1 2022,21,0,5,0,0,1,0,3,3,0,4,0,0,0,0,0,0,['yobe'],"['q1', '2022']",37
222.0,zamfara,q1 2022,20,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,['zamfara'],"['q1', '2022']",31
