state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens,period_tokens,cases_check_ok
155,benue,6,44,3,53,123,9,132,165,q4 2021,['benue'],"['q4', '2021']",True
156,borno,4,17,0,21,70,5,75,152,q4 2021,['borno'],"['q4', '2021']",True
157,cross river,15,31,8,54,133,20,153,248,q4 2021,"['cross', 'river']","['q4', '2021']",True
158,delta,21,28,9,58,172,30,202,452,q4 2021,['delta'],"['q4', '2021']",True
159,ebonyi,14,13,3,30,87,29,116,171,q4 2021,['ebonyi'],"['q4', '2021']",True
160,edo,24,31,8,63,125,40,165,397,q4 2021,['edo'],"['q4', '2021']",True
161,ekiti,3,17,7,27,62,5,67,178,q4 2021,['ekiti'],"['q4', '2021']",True
162,enugu,16,29,11,56,134,21,155,348,q4 2021,['enugu'],"['q4', '2021']",True
163,fct,50,190,40,280,621,66,687,1424,q4 2021,['fct'],"['q4', '2021']",True
164,gombe,17,71,2,90,256,30,286,472,q4 2021,['gombe'],"['q4', '2021']",True
165,imo,11,25,1,37,130,22,152,328,q4 2021,['imo'],"['q4', '2021']",True
166,jigawa,34,94,1,129,510,62,572,858,q4 2021,['jigawa'],"['q4', '2021']",True
167,kaduna,60,112,5,177,691,120,811,1436,q4 2021,['kaduna'],"['q4', '2021']",True
168,kano,21,19,0,40,190,40,230,385,q4 2021,['kano'],"['q4', '2021']",True
169,katsina,6,4,0,10,38,13,51,73,q4 2021,['katsina'],"['q4', '2021']",True
170,kebbi,16,44,2,62,248,28,276,378,q4 2021,['kebbi'],"['q4', '2021']",True
171,kogi,36,84,17,137,428,68,496,1207,q4 2021,['kogi'],"['q4', '2021']",True
172,kwara,35,63,10,108,365,76,441,782,q4 2021,['kwara'],"['q4', '2021']",True
173,lagos,24,84,51,159,262,43,305,751,q4 2021,['lagos'],"['q4', '2021']",True
174,nasarawa,44,207,12,263,686,59,745,1417,q4 2021,['nasarawa'],"['q4', '2021']",True
175,niger,50,129,1,180,759,108,867,1377,q4 2021,['niger'],"['q4', '2021']",True
176,ogun,71,169,46,286,633,129,762,1920,q4 2021,['ogun'],"['q4', '2021']",True
177,ondo,39,78,17,134,247,62,309,797,q4 2021,['ondo'],"['q4', '2021']",True
178,osun,27,64,16,107,302,63,365,813,q4 2021,['osun'],"['q4', '2021']",True
179,oyo,53,98,12,163,494,93,587,1213,q4 2021,['oyo'],"['q4', '2021']",True
180,plateau,17,51,6,74,261,34,295,529,q4 2021,['plateau'],"['q4', '2021']",True
181,rivers,11,12,4,27,135,23,158,239,q4 2021,['rivers'],"['q4', '2021']",True
182,sokoto,13,22,0,35,146,25,171,224,q4 2021,['sokoto'],"['q4', '2021']",True
183,taraba,9,61,0,70,178,9,187,320,q4 2021,['taraba'],"['q4', '2021']",True
184,yobe,14,30,1,45,188,25,213,332,q4 2021,['yobe'],"['q4', '2021']",True
185,zamfara,9,16,0,25,135,32,167,249,q4 2021,['zamfara'],"['q4', '2021']",True
186,abia,8,20,5,33,144,13,157,260,q1 2022,['abia'],"['q1', '2022']",True
187,adamawa,17,61,1,79,245,61,306,488,q1 2022,['adamawa'],"['q1', '2022']",True
